https://code4fukui.github.io/rdf/#rows,https://code4fukui.github.io/rdf/#consonant,https://code4fukui.github.io/rdf/#type_of_trash,https://schema.org/category,https://code4fukui.github.io/rdf/#conditions_of_collection,https://code4fukui.github.io/rdf/#classification
mno,m,máquina de fazer sucos,Lixo Não-Combustível (MOYASENAI)/Lixos de Grande Porte (SODAI GOMI),"Menores de 30 cm quadrados descarte no ""lixo não combustível"". Tamanho maiores, descarte no ""lixo de grande porte"".",Aparelhos eletricos
abc,c,caixas de suco de papel,Lixo Combustível (MOYASERU),"Mesmo aqueles que tiverem revestimento interno de alumínio devem ser descartados no ""lixo combustível"".",Alimentos
tuv,t,tapete,Lixos de Grande Porte (SODAI GOMI),Dobre até o menor tamanho que puder e amarre com corda.,Moradia
abc,b,bala (arma de fogo),Não Coletado,Consulte o revendedor ou uma empresa especializada.,Lazer
pqrs,p,pistola ou arma de fogo,Não Coletado,Consulte o revendedor ou uma empresa especializada.,Lazer
abc,b,baterias recarregáveis,Coletado pelo revendedor,"As baterias usadas devem ser colocadas dentro da caixa de reciclagem das lojas colaboradoras da reciclagem (lojas de eletroeletrônicas, home center, etc.)",Aparelhos eletricos
abc,c,carregador de baterias,Caixa coletora específica para eletrodomésticos de pequeno porte(KOGATAKADEN)/Lixo Não-Combustível (MOYASENAI),"Os eletrodomésticos inferiores a 16x27cm, podem ser descartados nas caixas coletoras de eletrodomésticos de pequeno porte ou nos lixos não incineráveis.",Aparelhos eletricos
jkl,l,lixo do picotador de papeis,Lixo Combustível (MOYASERU),,Outros
def,e,extintor de incêndio,Não Coletado,Consulte o revendedor ou uma empresa especializada.,Moradia
abc,c,cinzas da incineração,Consultar um empresa de tratamento,A incineração doméstica é proibida por lei.,Outros
jkl,j,janela corrediça com papel,Lixos de Grande Porte (SODAI GOMI),"Para comprimentos de até 180 cm. Para comprimentos maiores, consulte o centro de limpeza, tel: 0778-28-1370.",Moradia
pqrs,r,recipiente de comprimidos,Plástico Reciclável (PURA),"Os recipientes de vidro devem ser descartados no ""lixo não combustível"".",Hospitalar
abc,c,caixa de desumidificação ou dessecantes,Lixo Não-Combustível (MOYASENAI),,Artigos de uso diario
ghi,g,guarda-louça,Lixos de Grande Porte (SODAI GOMI),"O comprimento deve ser menor que 180 cm.  Para comprimentos maiores, consulte o centro de limpeza, tel: 0778-28-1370.",Moradia
abc,a,ânus artificial,Lixo Combustível (MOYASERU),,Hospitalar
pqrs,s,sinalizadores,Não Coletado,"Os usados devem ser descartados no ""lixo não queimável"".",Veiculos
jkl,j,jornal,Coleta de Papeis Velhos,,Artigos de uso diario
abc,a,aquário,Lixos de Grande Porte (SODAI GOMI),,Animais
mno,o,óculos de natação,Lixo Não-Combustível (MOYASENAI),,Lazer
ghi,g,garrafa térmica,Lixo Não-Combustível (MOYASENAI),,Alimentos
pqrs,p,panela elétrica de arroz,Caixa coletora específica para eletrodomésticos de pequeno porte(KOGATAKADEN)/Lixo Não-Combustível (MOYASENAI)/Lixos de Grande Porte (SODAI GOMI),"Os eletrodomésticos inferiores a 16x27cm, podem ser descartados nas caixas coletoras de eletrodomésticos de pequeno porte.Coloque o eletrodoméstico em saco de lixo adequado, no tamanho do aparelho para que não rasgue e jogue no lixo não incinerável.Outros tamanhos descarte no ""lixo de grande porte"".",Aparelhos eletricos
mno,m,mala,Lixos de Grande Porte (SODAI GOMI),,Artigos de uso diario
pqrs,p,prancha de esqui,Lixos de Grande Porte (SODAI GOMI),,Lazer
pqrs,r,roupas de esqui,Lixo Não-Combustível (MOYASENAI),,Lazer
pqrs,s,sapatos de esqui,Lixos de Grande Porte (SODAI GOMI),,Lazer
pqrs,p,pá,Lixos de Grande Porte (SODAI GOMI),"As pás de menos de 20 cm devem ser descartados no ""lixo não combustível"".","Jardinagem,Agricultura"
def,e,etiqueta autocolante,Lixo Combustível (MOYASERU),,Artigos de uso diario
abc,a,aparelho de som,Caixa coletora específica para eletrodomésticos de pequeno porte(KOGATAKADEN)/Lixo Não-Combustível (MOYASENAI)/Lixos de Grande Porte (SODAI GOMI),"Os eletrodomésticos inferiores a 16x27cm, podem ser descartados nas caixas coletoras de eletrodomésticos de pequeno porte.Coloque o eletrodoméstico em saco de lixo adequado, no tamanho do aparelho para que não rasgue e jogue no lixo não incinerável.Outros tamanhos descarte no ""lixo de grande porte"".",Aparelhos eletricos
abc,a,aquecedor,Lixos de Grande Porte (SODAI GOMI),"Esvazie o reservatório de querosene e as pilhas devem ser descartadas no ""lixo tóxico"".",Moradia
abc,b,bastão de esqui,Lixos de Grande Porte (SODAI GOMI),,Lazer
mno,m,meia-calça,Lixo Combustível (MOYASERU),,Roupas
abc,c,canudinho,Lixo Não-Combustível (MOYASENAI),"Descarte o saquinho no ""lixo combustível"" se for de papel e no ""lixo de plástico reciclável"" se for de plástico.",Alimentos
tuv,t,tênis,Lixo Não-Combustível (MOYASENAI),,Roupas
pqrs,p,pá para tirar e carregar neve,Lixos de Grande Porte (SODAI GOMI),,Artigos de uso diario
pqrs,p,prancha para snowboard,Lixos de Grande Porte (SODAI GOMI),,Lazer
abc,c,caixa de som,Caixa coletora específica para eletrodomésticos de pequeno porte(KOGATAKADEN)/Lixo Não-Combustível (MOYASENAI)/Lixos de Grande Porte (SODAI GOMI),"Retirar a pilha/bateria.Os eletrodomésticos inferiores a 16x27cm, podem ser descartados nas caixas coletoras de eletrodomésticos de pequeno porte.Coloque o eletrodoméstico em saco de lixo adequado, no tamanho do aparelho para que não rasgue e jogue no lixo não incinerável.Outros tamanhos descarte no ""lixo de grande porte"".",Lazer
abc,c,"colher, garfo",Lixo Não-Combustível (MOYASENAI),,Alimentos
abc,c,colchão de molas,Leve diretamente ao Centro de Limpeza,"É necessário taxa extra. Não pode ser descartado no ""lixo de grande porte"".",Moradia
jkl,l,lata de spray,"Sprays, cilindros e similares",Para o descarte esvazie todo o conteúdo ao ar livre onde não há fogo .,Artigos de uso diario
def,e,esponja,Lixo Não-Combustível (MOYASENAI),,Artigos de uso diario
abc,c,chinelos surippa,Lixo Não-Combustível (MOYASENAI),,Artigos de uso diario
abc,a,ardósia (telhados),Leve diretamente ao Centro de Limpeza,"Mas, exceto os resíduos de ardósia demolidos por empresas. Somente pequenas quantidades. Deve ter menos de 180 cm.",Moradia
abc,a,absorventes femininos,Lixo Combustível (MOYASERU),Incinerar por questões higiênicas.,Hospitalar
abc,a,amianto,Não Coletado,"Entre em contato com o centro de limpeza No.2 (Kotogahara-cho), tel: 28-1370.",Moradia
pqrs,p,porcelanas,Lixo Não-Combustível (MOYASENAI)/Lixos de Grande Porte (SODAI GOMI),"Aqueles cujo tamanho caiba no saco de lixo e cujo peso possa ser carregado sem rasgar o saco, podem ser descartadas no ""lixo não-queimável"". Maiores que o tamanho citado, descarte no ""lixo de grande porte"".",Alimentos
abc,c,cimento,Leve diretamente ao Centro de Limpeza,Somente quando usados em residências (pequenas quantidades).,Moradia
def,f,fita adesiva (durex),Lixo Não-Combustível (MOYASENAI),,Artigos de uso diario
def,f,frasco de detergente (com bomba),Plástico Reciclável (PURA),"Esvazie completamente o conteúdo, lave o interior e descarte. Retire a bombinha e descarte no ""lixo de plástico reciclável"".",Artigos de uso diario
abc,c,caixa de sabão em pó (papel),Lixo Combustível (MOYASERU),"A alça e a colher de medição devem ser descartados no ""lixo não combustível"".",Artigos de uso diario
mno,m,máquina de lavar,Coletado pelo revendedor,Leve ao revendedor. É possível solicitar o descarte a uma empresa de transportes de resíduos. É  necessário pagar a taxa de reciclagem.,Aparelhos eletricos
pqrs,p,prendedores de roupa,Lixo Não-Combustível (MOYASENAI),,Artigos de uso diario
ghi,g,galho de podas (árvores),Lixo Combustível (MOYASERU),"Corte em pedaços de até 5 cm de largura e até 50 cm de comprimento, coloque no saco de lixo determinado e descarte (é permitido amarrar em feixes).","Jardinagem,Agricultura"
ghi,g,galho de podas (árvores) [Grande quantidades],Leve diretamente ao Centro de Limpeza,"Caso a quantidade seja grande, corte em pedaços de até 5 cm de largura e até 50 cm de comprimento,  e leve diretamente ao centro de limpeza No. 1.","Jardinagem,Agricultura"
tuv,t,tesouras de poda,Lixo Não-Combustível (MOYASENAI)/Lixos de Grande Porte (SODAI GOMI),"Aqueles cujo tamanho caiba no saco de lixo e cujo peso possa ser carregado sem rasgar o saco, podem ser descartadas no ""lixo não-queimável"". Maiores que o tamanho citado, descarte no ""lixo de grande porte"".","Jardinagem,Agricultura"
tuv,v,ventilador,Caixa coletora específica para eletrodomésticos de pequeno porte(KOGATAKADEN)/Lixo Não-Combustível (MOYASENAI)/Lixos de Grande Porte (SODAI GOMI),"Os eletrodomésticos inferiores a 16x27cm, podem ser descartados nas caixas coletoras de eletrodomésticos de pequeno porte.Coloque o eletrodoméstico em saco de lixo adequado, no tamanho do aparelho para que não rasgue e jogue no lixo não incinerável.Outros tamanhos descarte no ""lixo de grande porte"".",Aparelhos eletricos
abc,b,binóculos,Lixo Não-Combustível (MOYASENAI),,Lazer
abc,a,aspirador de pó,Lixos de Grande Porte (SODAI GOMI),,Aparelhos eletricos
abc,a,sandálias,Lixo Não-Combustível (MOYASENAI),,Roupas
pqrs,s,sofá,Lixos de Grande Porte (SODAI GOMI),,Moradia
tuv,t,trenó,Lixos de Grande Porte (SODAI GOMI),,Lazer
tuv,t,termômetro (mercúrio),Lixo Tóxico (YUGAI GOMI),"Descarte termômetros digitais no ""lixo não combustível"", as pilhas devem ser retiradas e descartadas no ""lixo tóxico"" ou leve até às caixas de coleta do revendedor.",Hospitalar
tuv,t,Termomêtro (elétron),Caixa coletora específica para eletrodomésticos de pequeno porte(KOGATAKADEN)/Lixo Não-Combustível (MOYASENAI),"Retirar a pilha/bateria.Os eletrodomésticos inferiores a 16x27cm, podem ser descartados nas caixas coletoras de eletrodomésticos de pequeno porte ou nos lixos não incineráveis.",
abc,b,balança de gordura corporal,Caixa coletora específica para eletrodomésticos de pequeno porte(KOGATAKADEN)/Lixo Não-Combustível (MOYASENAI)/Lixos de Grande Porte (SODAI GOMI),"Retirar a pilha/bateria.Os eletrodomésticos inferiores a 16x27cm, podem ser descartados nas caixas coletoras de eletrodomésticos de pequeno porte.Coloque o eletrodoméstico em saco de lixo adequado, no tamanho do aparelho para que não rasgue e jogue no lixo não incinerável.Outros tamanhos descarte no ""lixo de grande porte"".",Hospitalar
abc,b,balança de peso corporal,Caixa coletora específica para eletrodomésticos de pequeno porte(KOGATAKADEN)/Lixo Não-Combustível (MOYASENAI)/Lixos de Grande Porte (SODAI GOMI),"Retirar a pilha/bateria.Os eletrodomésticos inferiores a 16x27cm, podem ser descartados nas caixas coletoras de eletrodomésticos de pequeno porte.Coloque o eletrodoméstico em saco de lixo adequado, no tamanho do aparelho para que não rasgue e jogue no lixo não incinerável.Outros tamanhos descarte no ""lixo de grande porte"".",Hospitalar
abc,c,carrinho,Lixos de Grande Porte (SODAI GOMI),,Artigos de uso diario
pqrs,p,pneu,Leve diretamente ao Centro de Limpeza,"Consulte a cooperativa de limpeza. Se possível, solicite o descarte a uma empresa especializada. Não pode ser descartado no ""lixo de grande porte"". É necessário pagar taxa extra.",Veiculos
tuv,t,toalha,Lixo Combustível (MOYASERU),,Artigos de uso diario
tuv,t,tesouras de poda para locais altos,Lixos de Grande Porte (SODAI GOMI),,"Jardinagem,Agricultura"
tuv,t,tatami,Lixos de Grande Porte (SODAI GOMI),,Moradia
tuv,t,tupperware,Lixo Não-Combustível (MOYASENAI),,Alimentos
mno,m,arcenaria,Lixos de Grande Porte (SODAI GOMI),"O comprimento deve ser menor que 180 cm.  Para comprimentos maiores, consulte o centro de limpeza, tel: 0778-28-1370.",Moradia
abc,c,cigarros e bitucas de cigarros,Lixo Combustível (MOYASERU),Jogue água para apagar completamente o fogo e descarte em seguida.,Lazer
abc,c,cômoda,Lixos de Grande Porte (SODAI GOMI),"O comprimento deve ser menor que 180 cm.  Para comprimentos maiores, consulte o centro de limpeza, tel: 0778-28-1370.",Moradia
abc,a,absorvente interno,Lixo Combustível (MOYASERU),Incinerar por questões higiênicas.,Hospitalar
pqrs,p,papelões,Coleta de Papeis Velhos,Abra as caixas e amarre com barbante de papel.,Artigos de uso diario
abc,c,corrente,Leve diretamente ao Centro de Limpeza,,Moradia
mno,m,motoserra ou serra elétrica,Lixos de Grande Porte (SODAI GOMI),Esvazie completamente o combustível.,"Jardinagem,Agricultura"
abc,a,assento para crianças (carro),Lixos de Grande Porte (SODAI GOMI),,Veiculos
mno,m,mesa baixa com pernas de desencaixar ou dobradiças,Lixos de Grande Porte (SODAI GOMI),,Moradia
tuv,t,tigelinha (tyawan),Lixo Não-Combustível (MOYASENAI),,Alimentos
abc,a,agulha de injeção,E consultar uma instituição médica,,Hospitalar
pqrs,p,pá de lixo,Lixo Não-Combustível (MOYASENAI),,Artigos de uso diario
abc,b,bengala,Lixo Combustível (MOYASERU),"As bengalas de madeira devem ser quebradas e descartadas no ""lixo combustível"". As de plástico ou de alumínio no ""lixo não combustível"".",Artigos de uso diario
abc,c,cairo descartável (aquecedor de bolso),Lixo Não-Combustível (MOYASENAI),"Devido o risco de provocar a ignição espontânea, não descarte o kairo não-utilizado (sem uso).   A embalagem de plástico deve ser descartada no lixo de ""plástico reciclável"".",Artigos de uso diario
def,e,"escrivaninha (madeira, aço)",Lixos de Grande Porte (SODAI GOMI),"O comprimento deve ser menor que 180 cm.  Para comprimentos maiores, consulte o centro de limpeza, tel: 0778-28-1370.",Moradia
pqrs,r,resíduos de conserva (yuka),Lixo Combustível (MOYASERU),"Mas, somente pequenas quantidades.",Alimentos
pqrs,p,pedra de peso usado para fazer conservas,Não Coletado,"Consulte uma empresa especializada em paisagismo. Quando aos pesos feito de plástico, consulte o centro de limpeza, tel:28-1370.",Alimentos
abc,c,cortador de unhas,Lixo Não-Combustível (MOYASENAI),,Artigos de uso diario
tuv,v,vara de pesca,Lixo Não-Combustível (MOYASENAI),"Mas, somente se puder ser diminuído em tamanho menor que 1 metro. Os maiores, descarte no lixo de grande porte"".",Lazer
tuv,t,tissue (lenço de papel),Lixo Combustível (MOYASERU),,Artigos de uso diario
abc,c,caixa de tissue,Coleta de Papeis Velhos,"Retire o plástico, dobre e descarte nas ""revistas e similares"".",Artigos de uso diario
mno,m,mesa,Lixos de Grande Porte (SODAI GOMI),"O comprimento deve ser menor que 180 cm.  Para comprimentos maiores, consulte o centro de limpeza, tel: 0778-28-1370.",Moradia
def,e,extensão elétrica,Caixa coletora específica para eletrodomésticos de pequeno porte(KOGATAKADEN)/Lixo Não-Combustível (MOYASENAI),"Os eletrodomésticos inferiores a 16x27cm, podem ser descartados nas caixas coletoras de eletrodomésticos de pequeno porte ou nos lixos não incineráveis.",Aparelhos eletricos
ghi,h,halteres de ferro,Leve diretamente ao Centro de Limpeza,,Lazer
tuv,t,televisores,Coletado pelo revendedor,Leve ao revendedor. O descarte também pode ser solicitada a uma empresa de transporte de resíduos. É necessário pagar taxa de reciclagem.,Aparelhos eletricos
abc,a,aparelhos elétricos,Caixa coletora específica para eletrodomésticos de pequeno porte(KOGATAKADEN)/Lixo Não-Combustível (MOYASENAI)/Lixos de Grande Porte (SODAI GOMI),"Os eletrodomésticos inferiores a 16x27cm, podem ser descartados nas caixas coletoras de eletrodomésticos de pequeno porte.Coloque o eletrodoméstico em saco de lixo adequado, no tamanho do aparelho para que não rasgue e jogue no lixo não incinerável.Outros tamanhos descarte no ""lixo de grande porte"".",Aparelhos eletricos
mno,m,mesinha com aquecedor elétrico (kotatsu),Lixos de Grande Porte (SODAI GOMI),,Aparelhos eletricos
abc,c,cobertor elétrico,Lixos de Grande Porte (SODAI GOMI),,Aparelhos eletricos
tuv,t,tapete elétrico,Lixos de Grande Porte (SODAI GOMI),,Aparelhos eletricos
abc,c,cabo elétrico,Lixo Não-Combustível (MOYASENAI),Corte em pedaços de menos de 1 metro de comprimento. Fios com tambor também devem ser cortados para serem descartados.,Aparelhos eletricos
jkl,l,lâmpadas,Lixo Tóxico (YUGAI GOMI),,Aparelhos eletricos
jkl,l,lâmpadas fluorescentes compactas,Lixo Tóxico (YUGAI GOMI),,Aparelhos eletricos
def,d,dicionário eletrônico,Caixa coletora específica para eletrodomésticos de pequeno porte(KOGATAKADEN)/Lixo Não-Combustível (MOYASENAI),"Retirar a pilha/bateria.Os eletrodomésticos inferiores a 16x27cm, podem ser descartados nas caixas coletoras de eletrodomésticos de pequeno porte ou nos lixos não incineráveis.",Aparelhos eletricos
abc,c,cartucho de cigarros eletrônicos,Caixa coletora específica para eletrodomésticos de pequeno porte(KOGATAKADEN)/Lixo Não-Combustível (MOYASENAI),"Retirar a pilha/bateria.Os eletrodomésticos inferiores a 16x27cm, podem ser descartados nas caixas coletoras de eletrodomésticos de pequeno porte ou nos lixos não incineráveis.",Aparelhos eletricos
abc,a,agenda eletrônica,Caixa coletora específica para eletrodomésticos de pequeno porte(KOGATAKADEN)/Lixo Não-Combustível (MOYASENAI),"Retirar a pilha/bateria.Os eletrodomésticos inferiores a 16x27cm, podem ser descartados nas caixas coletoras de eletrodomésticos de pequeno porte ou nos lixos não incineráveis.",Aparelhos eletricos
tuv,t,tenda,Lixos de Grande Porte (SODAI GOMI),Separe a armação e a lona.,Lazer
mno,o,óleo de cozinha,Lixo Combustível (MOYASERU),"Absorva com papel ou panos, ou endureça com produtos próprios para depois descartar.",Alimentos
tuv,t,telefone (aparelho),Caixa coletora específica para eletrodomésticos de pequeno porte(KOGATAKADEN)/Lixo Não-Combustível (MOYASENAI)/Lixos de Grande Porte (SODAI GOMI),"Retirar a pilha/bateria.Os eletrodomésticos inferiores a 16x27cm, podem ser descartados nas caixas coletoras de eletrodomésticos de pequeno porte.Coloque o eletrodoméstico em saco de lixo adequado, no tamanho do aparelho para que não rasgue e jogue no lixo não incinerável.Outros tamanhos descarte no ""lixo de grande porte"".",Aparelhos eletricos
pqrs,r,rolo de papel higiênico,Coleta de Papeis Velhos,,Artigos de uso diario
mno,m,móveis de vime,Lixos de Grande Porte (SODAI GOMI),"O comprimento deve ser menor que 180 cm.  Para comprimentos maiores, consulte o centro de limpeza, tel: 0778-28-1370.",Moradia
pqrs,p,porcelana chinesa,Lixo Não-Combustível (MOYASENAI)/Lixos de Grande Porte (SODAI GOMI),"Aqueles cujo tamanho caiba no saco de lixo e cujo peso possa ser carregado sem rasgar o saco, podem ser descartadas no ""lixo não-queimável"". Maiores que o tamanho citado, descarte no ""lixo de grande porte"".",Artigos de uso diario
pqrs,s,stupa,Não Coletado,Consulte o templo.,Outros
tuv,t,torradeira ou tostadeira,Caixa coletora específica para eletrodomésticos de pequeno porte(KOGATAKADEN)/Lixo Não-Combustível (MOYASENAI)/Lixos de Grande Porte (SODAI GOMI),"Os eletrodomésticos inferiores a 16x27cm, podem ser descartados nas caixas coletoras de eletrodomésticos de pequeno porte.Coloque o eletrodoméstico em saco de lixo adequado, no tamanho do aparelho para que não rasgue e jogue no lixo não incinerável.Outros tamanhos descarte no ""lixo de grande porte"".",Aparelhos eletricos
pqrs,r,relógio,Caixa coletora específica para eletrodomésticos de pequeno porte(KOGATAKADEN)/Lixo Não-Combustível (MOYASENAI)/Lixos de Grande Porte (SODAI GOMI),"Retirar a pilha/bateria.Os eletrodomésticos inferiores a 16x27cm, podem ser descartados nas caixas coletoras de eletrodomésticos de pequeno porte.Coloque o eletrodoméstico em saco de lixo adequado, no tamanho do aparelho para que não rasgue e jogue no lixo não incinerável.Outros tamanhos descarte no ""lixo de grande porte"".",Aparelhos eletricos
wxyz,z,zinco,Lixos de Grande Porte (SODAI GOMI),"O comprimento deve ser menor que 180 cm.  Para comprimentos maiores, consulte o centro de limpeza, tel: 0778-28-1370.",Moradia
pqrs,p,panela de barro,Lixo Não-Combustível (MOYASENAI),,Alimentos
tuv,t,tambor,Lixos de Grande Porte (SODAI GOMI),,Outros
ghi,g,gaiola de pássaros,Lixos de Grande Porte (SODAI GOMI),,Animais
jkl,l,lata de tinta (somente de uso doméstico),Lixos de Grande Porte (SODAI GOMI),"Esvazie completamente o conteúdo. Latas menores que meia lata de 18 litros devem ser descartadas no ""lixo não queimável"".",Moradia
tuv,t,tintas e derivados,Não Coletado,Consulte o vendedor.,Moradia
ghi,g,garrafa de molho pronto para salada (vidro),Garrafas Vazias (AKIBIN),"As tampas de plástico descartar no ""lixo de plástico reciclável"".",Alimentos
jkl,l,lama (sarjeta),Não Coletado,"Das vias provinciais consulte o escritório de obras públicas provinciais, das vias municipais consulte o setor de controle e manutenção municipal.",Outros
def,f,faca,Lixo Não-Combustível (MOYASENAI),"Enrole fita crepe ou panos na espada, e escreva [はもの] no saco de lixo.",Artigos de uso diario
pqrs,p,pia,Lixos de Grande Porte (SODAI GOMI),"Para comprimentos menores que 180cm. Para comprimentos maiores, leve diretamente ao centro de limpeza.",Moradia
mno,m,machadinha,Lixo Não-Combustível (MOYASENAI),"Até aproximadamente 20 cm. As machadinhas grandes devem ser descartadas no ""lixo de grande porte"".","Jardinagem,Agricultura"
abc,a,absorventes higiênicos,Lixo Combustível (MOYASERU),Incinerar por questões higiênicas.,Hospitalar
pqrs,p,panela,Lixo Não-Combustível (MOYASENAI)/Lixos de Grande Porte (SODAI GOMI),"Aqueles cujo tamanho caiba no saco de lixo e cujo peso possa ser carregado sem rasgar o saco, podem ser descartadas no ""lixo não-queimável"". Maiores que o tamanho citado, descarte no ""lixo de grande porte"".",Alimentos
jkl,l,lixo de cozinha,Lixo Combustível (MOYASERU),Cortar bem a água para descartar.,Alimentos
abc,c,chapa ondulada,Lixos de Grande Porte (SODAI GOMI),O comprimento deve ser menor que 180 cm.  Aqueles com comprimento maiores devem ser cortado em pedaços menores.,Moradia
tuv,t,teste de gravidez,Lixo Combustível (MOYASERU),Incinerar por questões higiênicas.,Hospitalar
abc,b,bichos de pelúcia,Lixo Combustível (MOYASERU),Até o tamanho do saco de lixo determinado.,Lazer
pqrs,p,pasta de farelo de arroz,Lixo Combustível (MOYASERU),"Mas, somente pequenas quantidades.",Alimentos
pqrs,p,panos,Lixo Combustível (MOYASERU),Os panos compridos cortar em tamanhos menores de 1 metro.,Roupas
abc,c,carriola (carrinho de mão),Lixos de Grande Porte (SODAI GOMI),,Artigos de uso diario
abc,a,areia para gato,Lixo Combustível (MOYASERU),Incinerar por questões higiênicas. (Remova as fezes na privada),Animais
ghi,g,gato morto,Não Coletado,Comunique a cooperativa de limpeza Nan-etsu.,Animais
pqrs,s,saco de dormir,Lixos de Grande Porte (SODAI GOMI),,Lazer
tuv,t,tubo de pasta de dente,Plástico Reciclável (PURA),Lave bem e descarte.,Artigos de uso diario
abc,a,argila,Lixo Não-Combustível (MOYASENAI),"Os feito de papel descarte no ""lixo combustível"".",Lazer
def,e,equipamento agrícola (doméstico de pequeno porte),Lixos de Grande Porte (SODAI GOMI),Esvazie completamente o óleo (cortador de grama até aparelho de névoa). Desmonte até onde puder.,"Jardinagem,Agricultura"
ghi,g,garrafa de vidro de pesticidas (de uso doméstico),Lixo Não-Combustível (MOYASENAI),Esvazie completamente as garrafas de pesticidas e lave com água.,"Jardinagem,Agricultura"
ghi,g,garrafa de vidro de pesticidas (de agricultores),Não Coletado,Consulte uma empresa especializada.,"Jardinagem,Agricultura"
pqrs,p,pesticidas e derivados,Não Coletado,Consulte uma empresa especializada.,"Jardinagem,Agricultura"
abc,c,caderno,Coleta de Papeis Velhos,Junte com as revistas e amarre.,Artigos de uso diario
pqrs,s,serra,Lixo Não-Combustível (MOYASENAI),"Até aproximadamente 20 cm. As machadinhas grandes devem ser descartadas no ""lixo de grande porte"".","Jardinagem,Agricultura"
tuv,v,vidro de algas (nori),Garrafas Vazias (AKIBIN),"Retire a tampa e coloque nas cestas separadas por cores. Descarte as tampas de plástico no ""lixo de plástico reciclável"".",Alimentos
abc,c,cinza,Consulta a um processador,A incineração doméstica é proibida por lei.,Outros
abc,b,bicicleta,Não Coletado,Consulte o revendedor.,Veiculos
pqrs,r,resíduos de óleo,Não Coletado,Consulte o revendedor.,Veiculos
pqrs,p,plástico de estufas (de agricultores),Não Coletado,"Entre em contato com o centro de limpeza No.2 (Kotogahara-cho), tel: 28-1370, ou descarte no dia designado pela cooperativa agrícola.","Jardinagem,Agricultura"
jkl,l,lápide,Não Coletado,Consulte o revendedor.,Outros
abc,c,cartão postal,Coleta de Papeis Velhos,"Junte com as revistas e amarre. As que contém fotos descarte no ""lixo combustível"".",Artigos de uso diario
abc,c,calçados,Lixo Não-Combustível (MOYASENAI),,Roupas
abc,b,balde,Lixo Não-Combustível (MOYASENAI)/Lixos de Grande Porte (SODAI GOMI),"Aqueles cujo tamanho caiba no saco de lixo e cujo peso possa ser carregado sem rasgar o saco, podem ser descartadas no ""lixo não-queimável"". Maiores que o tamanho citado, descarte no ""lixo de grande porte"".",Artigos de uso diario
pqrs,p,palitinhos (hashi),Lixo Combustível (MOYASERU),"Os feito de plástico descarte no ""lixo de plástico reciclável"".",Alimentos
abc,c,computador,Caixa coletora específica para eletrodomésticos de pequeno porte(KOGATAKADEN)/Contacte o fabricante,"Entre em contato com o fabricante. A reciclagem de computadores é pago.Os eletrodomésticos inferiores a 16x27cm, podem ser descartados nas caixas coletoras de eletrodomésticos de pequeno porte.",Lazer
pqrs,s,sinalizadores de fumaça,Não Coletado,"Os usados devem ser descartados no ""lixo não queimável"".",Veiculos
abc,b,bandeja de isopor,Coletado pelo revendedor,"Bandejas, etc. feitos de isopor. Lave bem e leve ao local de coleta do mercado ou descarte no ""lixo de plástico reciclável"".",Alimentos
abc,b,bateria,Leve diretamente ao Centro de Limpeza,"O posto de gasolina e as agências vendedoras de carros também fazem o tratamento e eliminação. Não pode ser descartado no ""lixo de grande porte"".",Veiculos
abc,c,carregador de celulares,Lixo Tóxico (YUGAI GOMI),,Aparelhos eletricos
abc,b,bastão (beisebol),Lixos de Grande Porte (SODAI GOMI),,Lazer
abc,b,bastão (uso culinário),Lixo Não-Combustível (MOYASENAI),"Os bastões grandes devem ser descartados no ""lixo de grande porte"".",Alimentos
ghi,i,isopor,Plástico Reciclável (PURA),Quebre em uma tamanho que caiba no saco de lixo. Não é necessário quebrar em tamanhos menores.,Alimentos
mno,m,material de enchimento de isopor,Plástico Reciclável (PURA),"Os granulados devem ser descartados no ""lixo não combustível"".",Outros
jkl,l,lenço de papel,Lixo Combustível (MOYASERU),,Artigos de uso diario
def,f,fogos de artifício,Lixo Combustível (MOYASERU),"Jogue água para apagar completamente o fogo e descarte em seguida. No entanto, os não usados leve pessoalmente ao centro de limpeza.",Lazer
def,e,escova de dentes,Lixo Não-Combustível (MOYASENAI),,Artigos de uso diario
ghi,i,instrumentos cortantes,Lixo Não-Combustível (MOYASENAI),"Enrole fita crepe, etc. na parte afiada, e escreva [ハモノ] no saco de lixo.",Alimentos
def,f,folha de plástico usado como divisória para bentô,Lixo Não-Combustível (MOYASENAI),,Alimentos
abc,a,agulha,Lixo Não-Combustível (MOYASENAI),Enrole fita crepe para que não espete.,Roupas
abc,a,arame,Lixo Não-Combustível (MOYASENAI),Corte em tamanhos de aproximadamente 1 metro.,Artigos de uso diario
abc,a,aquecedor de halogéneo,Lixos de Grande Porte (SODAI GOMI),,Aparelhos eletricos
jkl,l,lenço,Lixo Combustível (MOYASERU),,Artigos de uso diario
abc,c,cabide,Lixo Não-Combustível (MOYASENAI),,Roupas
abc,b,brochura,Coleta de Papeis Velhos,"Junte com as revistas e amarre. Os que contém fotos descarte no ""lixo combustível"".",Artigos de uso diario
def,f,fita de polipropileno,Lixo Não-Combustível (MOYASENAI),Corte em comprimentos de 50cm. Não descarte comprido.,Artigos de uso diario
