https://code4fukui.github.io/rdf/#rows,https://code4fukui.github.io/rdf/#consonant,https://code4fukui.github.io/rdf/#type_of_trash,https://schema.org/keywords,https://schema.org/category,https://code4fukui.github.io/rdf/#conditions_of_collection
TUV,T,体重称,体重称,小型家电回收箱・  不可燃垃圾・大型垃圾,"将电池取出。  约16cm×27cm以下的放入“小型家电回收箱”。  如大小可以放入指定的垃圾袋中・且重量不至于使垃圾袋破裂时,也可以作为“不可燃垃圾”扔出。                       其它情况均归为“大型垃圾”。"
PQRS,S,手推车,手推车,大型垃圾,
JKL,L,轮胎,轮胎,直接带到清扫组合处理,请向清扫组合咨询｡尽可能委托专业单位｡不可作为“大型垃圾”处理｡需要支付费用
MNO,M,毛巾,毛巾,可燃垃圾(可焚烧处理的垃圾),
JKL,J,剪子(修剪树枝用),"剪子,修剪树枝用",大型垃圾,
TUV,T,榻榻米,榻榻米,大型垃圾,
ABC,B,保鲜盒容器,保鲜盒容器,不可燃垃圾,
MNO,M,门窗类,门窗类,大型垃圾,"最长边的长度限小于1.8米｡大型的物品的处理,请咨询清扫中心｡"
WXYZ,X,香烟（包括烟蒂）,香烟（包括烟蒂）,可燃垃圾(可焚烧处理的垃圾),淋上水、将火完全灭掉
WXYZ,Y,"衣橱,衣柜","衣橱,衣柜",大型垃圾,"最长边的长度限小于1.8米｡大型的物品的处理,请咨询清扫中心｡"
PQRS,S,栓剂,栓剂,可燃垃圾(可焚烧处理的垃圾),"考虑到卫生上的原因,使用焚烧来处理"
WXYZ,Z,"纸壳箱,瓦楞纸箱","纸壳箱,瓦楞纸箱",废旧纸,展平后用绳子捆绑好
JKL,L,"链条,锁链","链条,锁链",直接带到清扫组合处理,
DEF,D,电锯,电锯,大型垃圾,将燃料清空
DEF,E,儿童座椅,儿童座椅,大型垃圾,
ABC,A,矮脚饭桌,矮脚饭桌,大型垃圾,
WXYZ,W,碗,碗,不可燃垃圾,
WXYZ,Z,注射针,注射针,向医疗机关咨询,
ABC,C,垃圾撮子,垃圾撮子,不可燃垃圾,
GHI,G,拐杖,拐杖,可燃垃圾(可焚烧处理的垃圾),将木质的拐杖折断后归为“可燃垃圾(可焚烧处理的垃圾)”、塑料及铝质的归为“不可燃垃圾”
WXYZ,Y,一次性暖宝宝,一次性暖宝宝,不可燃垃圾,"未经使用的东西有着火的可能,必须使用后再扔出。  外包装袋归为“塑料器皿､外包装垃圾”"
WXYZ,Z,桌子（木质・钢质）,桌子,大型垃圾,"最长边的长度限1.8米以下｡大型的物品的处理,请咨询清扫中心。"
WXYZ,Y,腌菜用的调料,腌菜用的调料,可燃垃圾(可焚烧处理的垃圾),仅限少量
WXYZ,Y,腌菜石(压菜的石头),"腌菜石,压菜的石头",不收集,向造园单位咨询｡塑料质的压菜石向清扫中心问讯
WXYZ,Z,"指甲剪,指甲刀","指甲剪,指甲刀",不可燃垃圾,
DEF,D,钓鱼杆,钓鱼杆,不可燃垃圾,仅限1米以内｡超过1米以上的归为“大型垃圾”
WXYZ,Z,纸巾,纸巾,可燃垃圾(可焚烧处理的垃圾),
WXYZ,Z,纸巾盒,纸巾盒,废旧纸,将塑料部分揭掉､将纸盒展平归为“废旧纸”
WXYZ,Z,桌子,桌子,大型垃圾,"最长边的长度限1.8米以下｡大型的物品的处理,请咨询清扫中心。"
DEF,D,电源插座,电源插座,小型家电回收箱・  不可燃垃圾,约16cm×27cm以下的放入“小型家电回收箱”。也可以作为“不可燃垃圾”扔出。
WXYZ,Y,哑铃(铁质),哑铃,直接带到清扫组合处理,
DEF,D,电视机,电视机,可再生家电,带到销售店处理｡也可以委托废弃物搬运单位处理｡需要支付再生费用
DEF,D,电器产品,电器产品,小型家电回收箱・  不可燃垃圾・大型垃圾,"电视(等离子､液晶等)､洗衣机､空调､冰箱・冰柜､除烘干机以外的各种电器､  约16cm×27cm以下的放入“小型家电回收箱”。  如大小可以放入指定的垃圾袋中・且重量不至于使垃圾袋破裂时,也可以作为“不可燃垃圾”扔出。                       其它情况均归为“大型垃圾”。"
ABC,B,被炉(电器),被炉(电器),大型垃圾,
DEF,D,电热毛毯,电热毛毯,大型垃圾,
DEF,D,电热地毯,电热地毯,大型垃圾,
DEF,D,电线,电线,不可燃垃圾,剪至１米以内。缠在绕线桶上的电线也要剪至规定长度以内后再扔出
DEF,D,灯泡,灯泡,有害垃圾,
DEF,D,灯泡型荧光灯,灯泡型荧光灯,有害垃圾,
DEF,D,电子辞典,电子辞典,小型家电回收箱・  不可燃垃圾,将电池取出。  约16cm×27cm以下的放入“小型家电回收箱”。也可以作为“不可燃垃圾”扔出。
DEF,D,电子香烟（本体部分）,电子香烟（本体部分）,小型家电回收箱・  不可燃垃圾,将电池取出。  约16cm×27cm以下的放入“小型家电回收箱”。也可以作为“不可燃垃圾”扔出。
DEF,D,电子记事本,电子记事本,小型家电回收箱・  不可燃垃圾,将电池取出。  约16cm×27cm以下的放入“小型家电回收箱”。也可以作为“不可燃垃圾”扔出。
WXYZ,Z,帐篷,帐篷,大型垃圾,支架和帐篷的布料需要拆开处理。
WXYZ,Y,油(炸过食物的油),"油,炸过食物的油",可燃垃圾(可焚烧处理的垃圾),"用纸､布等吸收,或凝固成固体后扔出"
DEF,D,电话,电话,小型家电回收箱・  不可燃垃圾・大型垃圾,"将电池取出。  约16cm×27cm以下的放入“小型家电回收箱”。  如大小可以放入指定的垃圾袋中・且重量不至于使垃圾袋破裂时,也可以作为“不可燃垃圾”扔出。                       其它情况均归为“大型垃圾”。"
ABC,C,厕纸的芯,厕纸的芯,废旧纸,
TUV,T,藤制的家具,藤制的家具,大型垃圾,"最长边的长度限1.8米以下｡大型的物品的处理,请咨询清扫中心｡"
TUV,T,陶瓷类,陶瓷类,不可燃垃圾・大型垃圾,"可以放入指定的垃圾袋中・且重量不至于使垃圾袋破裂时,归为“不可燃垃圾”。其它情况均为“大型垃圾”。"
TUV,T,塔形木牌,塔形木牌,不收集,请到寺庙咨询
JKL,K,烤面包箱,烤面包箱,小型家电回收箱・  不可燃垃圾・大型垃圾,"约16cm×27cm以下的放入“小型家电回收箱”。  如大小可以放入指定的垃圾袋中・且重量不至于使垃圾袋破裂时,也可以作为“不可燃垃圾”扔出。                       其它情况均归为“大型垃圾”。"
ABC,B,表,表,小型家电回收箱・  不可燃垃圾・大型垃圾,"将电池取出。  约16cm×27cm以下的放入“小型家电回收箱”。  如大小可以放入指定的垃圾袋中・且重量不至于使垃圾袋破裂时,也可以作为“不可燃垃圾”扔出。                       其它情况均归为“大型垃圾”。"
TUV,T,"铁皮,金属板","铁皮,金属板",大型垃圾,"最长边的长度限1.8米以下｡大型的物品的处理,请咨询清扫中心｡"
PQRS,S,砂锅,砂锅,不可燃垃圾,
TUV,T,铁桶,铁桶,大型垃圾,
MNO,N,鸟笼,鸟笼,大型垃圾,
TUV,T,涂料捅（仅限一般家庭用）,涂料捅,大型垃圾,将内装涂料完全清空｡大小在１斗罐的一半以内的桶可归为“不可燃垃圾”。
TUV,T,涂料类,涂料类,不收集,向销售店咨询
TUV,T,调味汁瓶（玻璃制）,调味汁瓶,空玻璃瓶,塑料瓶盖归为“塑料器皿､外包装垃圾”
MNO,N,(路沟里)清理出的泥沙,"路沟,清理,泥沙",不收集,县道的路沟归为县土木事务所、市道请向市维持管理课咨询
DEF,D,刀(小刀),小刀,不可燃垃圾,"将刀刃用胶带等缠好后扔出,在垃圾带上明记“刃物”(刀具)"
PQRS,S,水槽,水槽,大型垃圾,"最长边的长度限1.8米以下,大型的物品直接带到清扫中心处理。"
PQRS,P,劈刀,劈刀,不可燃垃圾,大小限在20cm左右｡尺寸大的劈刀归为“大型垃圾”
ABC,C,餐巾,餐巾,可燃垃圾(可焚烧处理的垃圾),"考虑到卫生上的原因,使用焚烧来处理"
GHI,G,锅,锅,不可燃垃圾・大型垃圾,"可以放入指定的垃圾袋中・且重量不至于使垃圾袋破裂时,归为“不可燃垃圾”。其它情况均为“大型垃圾”。"
ABC,C,厨房垃圾,厨房垃圾,可燃垃圾(可焚烧处理的垃圾),将水分沥尽后扔出
ABC,B,波浪形的塑料板,波浪形的塑料板,大型垃圾,最长边的长度限1.8米以下｡大型的物品需要切割成规定尺寸以内｡
ABC,C,"测孕纸,测孕棒","测孕纸,测孕棒",可燃垃圾(可焚烧处理的垃圾),"考虑到卫生上的原因,使用焚烧来处理"
MNO,M,毛绒玩具,毛绒玩具,可燃垃圾(可焚烧处理的垃圾),大小限能够装入指定垃圾带以内
JKL,K,糠床(腌渍用调料),"糠床,腌渍用调料",可燃垃圾(可焚烧处理的垃圾),但是、仅限少量
ABC,B,布类,布类,可燃垃圾(可焚烧处理的垃圾),长度剪至１米见方以内
DEF,D,独轮手推车,独轮手推车,大型垃圾,
MNO,M,猫砂,猫砂,可燃垃圾(可焚烧处理的垃圾),"考虑到卫生上的原因,使用焚烧来处理(先将污物除掉,扔进厕所马捅)"
MNO,M,猫的死尸,猫的死尸,不收集,联络南越清扫组合
PQRS,S,睡袋,睡袋,大型垃圾,
WXYZ,Y,牙膏管,牙膏管,塑料器皿、外包装垃圾,洗净后扔出
MNO,N,"粘土,橡皮泥","粘土,橡皮泥",不可燃垃圾,纸质的归为“可燃垃圾(可焚烧处理的垃圾)”
MNO,N,农机具(家用小型),农机具,大型垃圾,"将油全部放净(仅限割草机,喷洒机的程度)。尽可能的拆解后扔出。"
MNO,N,农药瓶(家用),农药瓶,不可燃垃圾,"将药水完全清空,水洗后扔出"
MNO,N,农药瓶(农家用),农药瓶,不收集,向专业单位咨询
MNO,N,农药类,农药类,不收集,向专业单位咨询
JKL,J,记事本,记事本,废旧纸,和杂志捆到一起
JKL,J,锯,锯,不可燃垃圾,大小限在20cm左右｡尺寸大的锯归为“大型垃圾”
ABC,B,玻璃瓶(装海苔的玻璃瓶),"玻璃瓶,装海苔的瓶",空玻璃瓶,"取下盖子､分颜色放入收集筐里。塑料瓶盖归为“塑料器皿,外包装垃圾”"
GHI,H,灰,灰,委托专业单位处理,原则上禁止在家里焚烧
MNO,M,摩托车,摩托车,不收集,向销售店咨询
DEF,F,废机油,废机油,不收集,向销售店咨询
WXYZ,W,温室大棚用的塑料布(农业用),温室大棚用的塑料布,不收集,带到产业废弃物处理场或者在农协指定的日期扔出
MNO,M,墓石,墓石,不收集,向销售店咨询
MNO,M,明信片,明信片,废旧纸,和杂志捆到一起｡带有照片的明信片归为“可燃垃圾(可焚烧处理的垃圾)”
WXYZ,X,鞋类,鞋类,不可燃垃圾,
PQRS,S,水桶,水桶,不可燃垃圾・大型垃圾,"可以放入指定的垃圾袋中・且重量不至于使垃圾袋破裂时,归为“不可燃垃圾”。其它情况均为“大型垃圾”。"
JKL,K,筷子,筷子,可燃垃圾(可焚烧处理的垃圾),塑料材质的筷子归为“不可燃垃圾”
DEF,D,电脑,电脑,小型家电回收箱・  电脑回收,"向厂商咨询｡购买时没有加入电脑回收服务的电脑,处理是需要支付费用｡  约16cm×27cm以下的放入“小型家电回收箱”。"
WXYZ,Y,"烟雾筒,信号筒","烟雾筒,信号筒",不收集,用过的烟雾筒归为“不可燃垃圾”
PQRS,P,盘(超市盛装食品的盛盘・托盘),"装盘,盛盘,托盘",店铺进行回收,"泡沫塑料的托盘等,洗净后带到超市或者归为“塑料器皿,外包装垃圾”"
WXYZ,X,蓄电池,蓄电池,直接带到清扫组合处理,加油站､汽车销售店也可以处理｡不可以归为“大型垃圾”。需要支付费用
PQRS,S,手机电池,手机电池,有害垃圾,
ABC,B,棒球棒,棒球棒,大型垃圾,
PQRS,P,洗菜盆,洗菜盆,不可燃垃圾,尺寸大的盆归为“大型垃圾”
PQRS,P,"泡沫塑料,泡沫苯乙稀","泡沫塑料,泡沫苯乙稀",塑料器皿、外包装垃圾,分割至可以装进垃圾袋的大小｡无需分割的过于细小｡
PQRS,P,泡沫塑料制的缓冲材料,"泡沫塑料,缓冲材料",塑料器皿、外包装垃圾,颗粒装的归为“不可燃垃圾”
WXYZ,X,擤鼻涕纸,擤鼻涕纸,可燃垃圾(可焚烧处理的垃圾),
WXYZ,Y,烟花,烟花,可燃垃圾(可焚烧处理的垃圾),"浇上水､将火完全灭掉后扔出｡但是,未经使用的烟花需要直接带到清扫中心处理｡"
WXYZ,Y,牙刷,牙刷,不可燃垃圾,
DEF,D,刀具,刀具,不可燃垃圾,"将刀刃用胶带等缠好后扔出,在垃圾带上明记“刃物”(刀具)"
JKL,J,间隔食物的塑料片,间隔食物的塑料片,不可燃垃圾,
WXYZ,Z,针,针,不可燃垃圾,"为防止刺伤,用胶带等缠好后扔出"
TUV,T,"铁丝,钢丝","铁丝,钢丝",不可燃垃圾,长度切至1米左右
GHI,H,红外线暖炉,红外线暖炉,大型垃圾,
PQRS,S,"手帕,手绢","手帕,手绢",可燃垃圾(可焚烧处理的垃圾),
WXYZ,Y,衣架,衣架,不可燃垃圾,
WXYZ,X,小册子,小册子,废旧纸,和杂志捆到一起｡带有照片的小册子归为“可燃垃圾(可焚烧处理的垃圾)”
JKL,K,捆箱带,捆箱带,不可燃垃圾,将长度切至50cm左右｡不可超过此长度
PQRS,S,录像・摄像器材,录像・摄像器材,小型家电回收箱・  不可燃垃圾・大型垃圾,"约16cm×27cm以下的放入“小型家电回收箱”｡  如大小可以放入指定的垃圾袋中･且重量不至于使垃圾袋破裂时,也可以作为“不可燃垃圾”扔出。                       其它情况均归为“大型垃圾”｡"
JKL,L,录像带类,录像带类,可燃垃圾(可焚烧处理的垃圾),磁带盒的材质是塑料时属于“不可然垃圾”｡纸质的带盒归为“废旧纸”类
PQRS,S,塑料管,塑料管,不可燃垃圾,长度切至1米左右
PQRS,S,塑料布类,塑料布类,大型垃圾,
PQRS,S,塑料袋,塑料袋,塑料器皿、外包装垃圾,
PQRS,P,啤酒瓶,啤酒瓶,店铺进行回收,破碎的啤酒瓶归为“空玻璃瓶”
PQRS,S,"塑料薄膜,塑料布","塑料薄膜,塑料布",不可燃垃圾,剪至1米见方以内｡大型物品归为“大型垃圾”
PQRS,S,塑料带子,塑料带子,不可燃垃圾,
GHI,H,火盆,火盆,大型垃圾,
DEF,F,装肥料的袋子,装肥料的袋子,不收集,向销售店咨询｡园艺用(仅限家庭使用)可以按照提示处理。
PQRS,P,瓶子(饮料食品用的瓶子),瓶子,空玻璃瓶,"啤酒瓶,一升瓶可以还给销售店"
PQRS,P,瓶子(饮料食品以外的瓶子),瓶子,不可燃垃圾,"香水,化妆品等的瓶子"
WXYZ,W,文件夹(纸质),文件夹,废旧纸,"将金属零件取下,归为“不可燃垃圾”"
WXYZ,W,文件夹(塑料质),文件夹,不可燃垃圾,
WXYZ,X,信封,信封,废旧纸,"将透明窗上的塑料薄膜取下,归为“不可燃垃圾”"
WXYZ,X,信封(装广告册的塑料信封),塑料信封,不可燃垃圾,
JKL,L,拉门,拉门,大型垃圾,
DEF,F,佛龛,佛龛,不收集,向销售店咨询
MNO,M,毛笔,毛笔,可燃垃圾(可焚烧处理的垃圾),
ABC,B,"被子,褥子","被子,褥子",大型垃圾,
ABC,B,百页窗,百页窗,大型垃圾,最长边的长度限1.8米以下。
PQRS,S,刷子,刷子,不可燃垃圾,
DEF,F,复印机,复印机,小型家电回收箱・  不可燃垃圾・大型垃圾,"约16cm×27cm以下的放入“小型家电回收箱”。  如大小可以放入指定的垃圾袋中・且重量不至于使垃圾袋破裂时,也可以作为“不可燃垃圾”扔出。                       其它情况均归为“大型垃圾”。"
MNO,M,复印机用的墨盒(空容器),"复印机,墨盒",店铺进行回收,
WXYZ,Y,浴缸,浴缸,不收集,向销售店咨询
PQRS,R,软盘,软盘,不可燃垃圾,软盘盒归为“不可燃垃圾”
PQRS,S,水泥块儿,水泥块儿,直接带到清扫组合处理,"用于晒衣台的,仅限少量。"
WXYZ,Y,浴缸盖,浴缸盖,大型垃圾,
WXYZ,W,文具,文具,不可燃垃圾,大型物品归为“大型垃圾”
DEF,E,耳机,耳机,小型家电回收箱・  不可燃垃圾,约16cm×27cm以下的放入“小型家电回收箱”。也可以作为“不可燃垃圾”扔出。
ABC,C,床(除床垫以外的部分),床,大型垃圾,最长边的长度限1.8米以下。大型物品直接搬到第一清扫中心处理。
WXYZ,Y,饮料塑料瓶,饮料塑料瓶,饮料塑料瓶,标有回收标志“1”的塑料瓶。瓶盖和外包装膜归为“塑料器皿､外包装垃圾”
ABC,C,宠物笼子,宠物笼子,大型垃圾,
ABC,C,宠物的罐装食物,"宠物的罐头食物,空罐",空罐,将罐头内的食物完全清空、用水冲净
ABC,C,宠物用厕所,宠物用厕所,大型垃圾,"将砂粒里的污物清除后,砂粒归为“可燃垃圾(可焚烧处理的垃圾)”"
ABC,C,宠物的尸体,宠物的尸体,直接带到清扫组合处理,需要支付费用。
WXYZ,Y,婴儿车,婴儿车,大型垃圾,
ABC,A,安全帽,安全帽,不可燃垃圾,
ABC,B,"便池,坐便器","便池,坐便器",直接带到清扫组合处理,
ABC,C,车轮圈(汽车用),车轮圈,大型垃圾,限没有装上轮胎的物品｡轮胎需带到销售店处理｡
ABC,C,车轮圈盖,车轮圈盖,不可燃垃圾,
GHI,G,锅炉,锅炉,直接带到清扫组合处理,仅限家庭用的锅炉　但是､由施工单位安装的情况需施工单位带走处理
WXYZ,Z,"指南针,磁铁","指南针,磁铁",不可燃垃圾,
TUV,T,"笤帚,扫帚","笤帚,扫帚",不可燃垃圾,过长过大的物品归为“大型垃圾”
PQRS,P,硼酸丸子(杀虫剂),硼酸丸子,可燃垃圾(可焚烧处理的垃圾),
ABC,B,包装纸,包装纸,废旧纸,和杂志捆绑到一起
DEF,D,"刀,刀具","刀,刀具",不可燃垃圾,"将刀刃用胶带等缠好,标明“刃物”"
DEF,F,防虫剂容器,防虫剂容器,不可燃垃圾,衣架用
ABC,B,保龄球,保龄球,直接带到清扫组合处理,
JKL,J,"金属盆,金属碗(厨房用品)","金属盆,金属碗",不可燃垃圾,
PQRS,Q,球,球,不可燃垃圾,充气的球需要将空气放空后扔出
ABC,B,圆珠笔,圆珠笔,不可燃垃圾,
PQRS,R,软管,软管,不可燃垃圾,剪至1米以内后扔出
ABC,B,"保温剂,保冷剂","保温剂,保冷剂",不可燃垃圾,
GHI,H,海报,海报,废旧纸,和杂志捆绑到一起
MNO,N,纽扣电池,纽扣电池,店铺进行回收,
ABC,B,"保温瓶,暖壶","保温瓶,暖壶",不可燃垃圾,"可以放入指定的垃圾袋中・且重量不至于使垃圾袋破裂时,归为“不可燃垃圾”。其它情况均为“大型垃圾”。"
PQRS,S,塑料罐(20升以下),塑料罐,不可燃垃圾,
PQRS,S,书,书,废旧纸,
TUV,T,托盘,托盘,不可燃垃圾,木质的归为“可燃垃圾(可焚烧处理的垃圾)”
WXYZ,Z,枕头,枕头,不可燃垃圾,内芯的棉或荞麦壳等物归为“可燃垃圾(可焚烧处理的垃圾)”
WXYZ,W,万能笔,万能笔,不可燃垃圾,
ABC,A,按摩器械,按摩器械,小型家电回收箱・  不可燃垃圾・大型垃圾,"约16cm×27cm以下的放入“小型家电回收箱”。  如大小可以放入指定的垃圾袋中・且重量不至于使垃圾袋破裂时,也可以作为“不可燃垃圾”扔出｡                       其它情况均归为“大型垃圾”｡"
ABC,C,床垫,床垫,大型垃圾,仅限没有金属弹簧的床垫｡带有金属弹簧的需要直接带到清扫中心｡
PQRS,Q,切菜板,切菜板,不可燃垃圾,木质的菜板属于“可燃垃圾(可焚烧处理的垃圾)”
MNO,N,暖瓶,暖瓶,不可燃垃圾,包括不锈钢、玻璃质的
DEF,D,蛋黄酱的容器,蛋黄酱的容器,塑料器皿、外包装垃圾,洗净后扔掉｡蕃茄酱的容器也同样处理
DEF,F,缝纫机,缝纫机,小型家电回收箱・  不可燃垃圾・大型垃圾,"包括脚踏式缝纫机。  约16cm×27cm以下的放入“小型家电回收箱”。  如大小可以放入指定的垃圾袋中・且重量不至于使垃圾袋破裂时,也可以作为“不可燃垃圾”扔出。                       其它情况均归为“大型垃圾”。"
WXYZ,W,挖耳勺,挖耳勺,不可燃垃圾,木质的属于“可燃垃圾(可焚烧处理的垃圾)”
DEF,F,放大镜,放大镜,不可燃垃圾,
MNO,M,名片,名片,废旧纸,放入信封里、和杂志一起捆绑
WXYZ,Y,眼镜,眼镜,不可燃垃圾,
MNO,M,棉棒,棉棒,可燃垃圾(可焚烧处理的垃圾),
MNO,M,"马达,发动机","马达,发动机",不收集,委托金属回收的专业单位处理
TUV,T,"毯子,毛毯","毯子,毛毯",大型垃圾,
JKL,L,晾衣竿,晾衣竿,大型垃圾,长度限在1.8米以内
JKL,L,晾衣台,晾衣台,大型垃圾,下面的水泥墩需要直接带到清扫中心处理。
WXYZ,Y,移动充电器,移动充电器,有害垃圾,
GHI,H,灰浆,灰浆,直接带到清扫组合处理,但是､仅限少量。施工单位拆卸时产生的垃圾需带到工业垃圾处理场去处理
PQRS,S,烧水壶,烧水壶,不可燃垃圾,
WXYZ,Y,药品类,药品类,不收集,向销售店咨询
DEF,D,带刺的铁丝,带刺的铁丝,直接带到清扫组合处理,
PQRS,R,"热水袋,汤婆子","热水袋,汤婆子",不可燃垃圾,
ABC,C,"茶杯,茶碗","茶杯,茶碗",不可燃垃圾,
WXYZ,Y,衣服,衣服,可燃垃圾 (可焚烧处理的垃圾),剪至1米见方后扔出
DEF,F,斧头,斧头,大型垃圾,
JKL,K,铠甲,铠甲,大型垃圾,
DEF,D,打火机,打火机,有害垃圾,将气尽量放空。一次性打火机也同样处理
PQRS,Q,球拍,球拍,不可燃垃圾,木质的属于“可燃垃圾(可焚烧处理的垃圾)”
PQRS,S,收音机,收音机,小型家电回收箱・  不可燃垃圾・大型垃圾,"将电池取出。  约16cm×27cm以下的放入“小型家电回收箱”。  如大小可以放入指定的垃圾袋中・且重量不至于使垃圾袋破裂时,也可以作为“不可燃垃圾”扔出｡                       其它情况均归为“大型垃圾”｡"
ABC,B,包装(礼物),"包装,礼物",不可燃垃圾,
ABC,B,保鲜膜的芯,保鲜膜的芯,废旧纸,仅限普通家庭用的｡放入纸袋中､与杂志捆绑到一起。
ABC,B,保鲜膜,保鲜膜,不可燃垃圾,"在超市购买的包装鱼,肉等的保鲜膜可以冲洗后归为“塑料器皿､外包装垃圾”"
PQRS,S,书包,书包,不可燃垃圾,
WXYZ,Y,遥控器,遥控器,小型家电回收箱・  不可燃垃圾,将电池取出。  约16cm×27cm以下的放入“小型家电回收箱”｡也可以作为“不可燃垃圾”扔出｡
ABC,B,"背包,双肩包","背包,双肩包",不可燃垃圾,
DEF,F,放大镜,放大镜,不可燃垃圾,
WXYZ,Z,"转盘(赌,游戏)",转盘,不可燃垃圾・大型垃圾,"可以放入指定的垃圾袋中・且重量不至于使垃圾袋破裂时,归为“不可燃垃圾”。其它情况均为“大型垃圾”。"
ABC,B,冰箱(冰柜),"冰箱,冰柜",可再生家电,"带到销售店处理｡也可以委托废弃物搬运单位处理｡但是,需要支付再生费用"
ABC,C,唱片,唱片,不可燃垃圾,
PQRS,S,收据,收据,可燃垃圾(可焚烧处理的垃圾),
PQRS,S,塑料袋(超市的),"塑料袋,超市",塑料器皿、外包装垃圾,
DEF,F,方便食品容器,方便食品容器,塑料器皿、外包装垃圾,洗净后扔掉。
WXYZ,Z,砖头,砖头,直接带到清扫组合处理,"但是,仅限少量"
GHI,G,"柜子(文件柜,橱柜,存衣柜)","柜子,文件柜,橱柜,存衣柜",大型垃圾,最长边的长度限在1.8米以内｡大型的柜子请向清扫中心咨询｡
WXYZ,W,文字处理器,文字处理器,小型家电回收箱・  不可燃垃圾・大型垃圾,"约16cm×27cm以下的放入“小型家电回收箱”｡  如大小可以放入指定的垃圾袋中・且重量不至于使垃圾袋破裂时,也可以作为“不可燃垃圾”扔出｡                       其它情况均归为“大型垃圾”｡"
WXYZ,X,橡皮筋,橡皮筋,不可燃垃圾,
